sampledate,year,ave_air_temp_adjusted
1869-05-14,1869,11.9
1869-05-15,1869,11.4
1869-05-16,1869,9.2
1869-05-17,1869,7.8
1869-05-18,1869,9.2
1869-05-19,1869,13.1
1869-05-20,1869,9.7
1869-05-22,1869,13.9
1869-05-23,1869,18.6
1869-05-24,1869,18.9
1869-05-25,1869,23.3
1869-05-26,1869,12.5
1869-05-27,1869,7.8
1869-05-28,1869,8.3
1869-05-29,1869,12.2
1869-05-30,1869,15.3
1869-05-31,1869,17.5
1869-06-01,1869,20.3
1869-06-03,1869,22.2
1869-06-04,1869,15.6
1869-06-05,1869,11.9
1869-06-06,1869,12.2
1869-06-07,1869,16.4
1869-06-08,1869,18.9
1869-06-09,1869,17.2
1869-06-10,1869,14.4
1869-06-11,1869,18.9
1869-06-12,1869,17.2
1869-06-14,1869,12.2
1869-06-15,1869,11.9
1869-06-16,1869,14.7
1869-06-17,1869,16.7
1869-06-18,1869,17.8
1869-06-19,1869,20.8
1869-06-20,1869,16.7
1869-06-21,1869,17.2
1869-06-22,1869,17.5
1869-06-23,1869,17.2
1869-06-24,1869,16.9
1869-06-25,1869,16.9
1869-06-26,1869,17.8
1869-06-27,1869,18.1
1869-06-29,1869,22.8
1869-06-30,1869,20
1869-07-01,1869,22.5
1869-07-02,1869,21.9
1869-07-03,1869,24.2
1869-07-04,1869,17.8
1869-07-05,1869,18.6
1869-07-06,1869,20.8
1869-07-07,1869,21.4
1869-07-08,1869,21.4
1869-07-09,1869,23.1
1869-07-11,1869,19.2
1869-07-12,1869,15.6
1869-07-13,1869,19.2
1869-07-14,1869,23.3
1869-07-15,1869,21.4
1869-07-16,1869,21.9
1869-07-17,1869,21.7
1869-07-18,1869,20.8
1869-07-19,1869,19.4
1869-07-20,1869,16.4
1869-07-22,1869,21.9
1869-07-23,1869,22.5
1869-07-24,1869,26.1
1869-07-25,1869,21.1
1869-07-26,1869,21.1
1869-07-27,1869,21.7
1869-07-28,1869,18.1
1869-07-29,1869,18.1
1869-07-30,1869,20
1869-07-31,1869,20.8
1869-08-01,1869,20.8
1869-08-02,1869,23.3
1869-08-03,1869,21.4
1869-08-05,1869,15.3
1869-08-06,1869,15.3
1869-08-07,1869,17.5
1869-08-08,1869,17.8
1869-08-09,1869,20
1869-08-10,1869,21.7
1869-08-11,1869,21.4
1869-08-12,1869,22.2
1869-08-13,1869,20.8
1869-08-14,1869,23.6
1869-08-16,1869,17.5
1869-08-17,1869,20.3
1869-08-18,1869,23.1
1869-08-19,1869,27.8
1869-08-20,1869,18.1
1869-08-21,1869,15.8
1869-08-22,1869,19.2
1869-08-23,1869,22.2
1869-08-24,1869,28.3
1869-08-25,1869,23.3
1869-08-26,1869,20.6
1869-08-28,1869,21.9
1869-08-29,1869,17.2
1869-08-30,1869,16.7
1869-08-31,1869,15.8
1869-09-01,1869,15
1869-09-02,1869,16.9
1869-09-03,1869,18.3
1869-09-04,1869,18.1
1869-09-05,1869,18.1
1869-09-07,1869,14.2
1869-09-08,1869,14.7
1869-09-09,1869,16.1
1869-09-10,1869,18.1
1869-09-11,1869,18.1
1869-09-12,1869,21.1
1869-09-13,1869,21.4
1869-09-14,1869,15.8
1869-09-15,1869,14.4
1869-09-16,1869,14.2
1869-09-18,1869,23.1
1869-09-19,1869,24.2
1869-09-20,1869,18.3
1869-09-21,1869,15
1869-09-22,1869,16.4
1869-09-23,1869,20
1869-09-24,1869,18.3
1869-09-25,1869,8.3
1869-09-26,1869,6.7
1869-09-27,1869,7.2
1869-09-28,1869,11.9
1869-09-30,1869,16.4
1869-10-01,1869,13.9
1869-10-02,1869,9.2
1869-10-03,1869,11.9
1869-10-04,1869,6.9
1869-10-05,1869,8.9
1869-10-06,1869,13.1
1869-10-07,1869,15.6
1869-10-08,1869,16.9
1869-10-09,1869,6.1
1869-10-10,1869,8.1
1869-10-11,1869,7.2
1869-10-12,1869,4.7
1869-10-13,1869,5.6
1869-10-14,1869,3.9
1869-10-15,1869,3.1
1869-10-16,1869,6.7
1869-10-17,1869,4.7
1869-10-19,1869,0
1869-10-20,1869,0
1869-10-21,1869,3.3
1869-10-22,1869,-0.3
1869-10-23,1869,-3.6
1869-10-24,1869,-5.3
1869-10-25,1869,-3.3
1869-10-26,1869,-4.7
1869-10-27,1869,-0.6
1869-10-29,1869,0.8
1869-10-30,1869,-1.7
1869-10-31,1869,1.7
1869-11-01,1869,7.2
1869-11-02,1869,11.1
1869-11-03,1869,11.9
1869-11-04,1869,8.3
1869-11-05,1869,1.7
1869-11-06,1869,0
1869-11-07,1869,-4.4
1869-11-08,1869,-3.3
1869-11-10,1869,-0.8
1869-11-11,1869,-3.9
1869-11-12,1869,-1.9
1869-11-13,1869,-1.1
1869-11-14,1869,-0.8
1869-11-15,1869,-0.6
1869-11-16,1869,0.3
1869-11-17,1869,-1.7
1869-11-18,1869,-4.7
1869-11-19,1869,-2.5
1869-11-20,1869,-6.4
1869-11-21,1869,-7.2
1869-11-22,1869,-2.5
1869-11-23,1869,-3.6
1869-11-24,1869,-7.8
1869-11-25,1869,-1.9
1869-11-26,1869,-1.4
1869-11-27,1869,-3.1
1869-11-28,1869,-3.9
1869-11-30,1869,-4.2
1869-12-01,1869,-11.1
1869-12-02,1869,-10.6
1869-12-03,1869,-8.6
1869-12-04,1869,-1.7
1869-12-05,1869,-3.6
1869-12-06,1869,-3.6
1869-12-07,1869,-2.8
1869-12-08,1869,-6.1
1869-12-09,1869,1.1
1869-12-11,1869,2.2
1869-12-12,1869,-1.1
1869-12-13,1869,-3.6
1869-12-14,1869,-3.6
1869-12-15,1869,-3.1
1869-12-16,1869,-5
1869-12-17,1869,-7.5
1869-12-18,1869,-8.1
1869-12-19,1869,-11.7
1869-12-20,1869,-13.9
1869-12-21,1869,-12.2
1869-12-22,1869,-10.6
1869-12-23,1869,-18.1
1869-12-24,1869,-11.4
1869-12-25,1869,-3.3
1869-12-26,1869,-1.9
1869-12-27,1869,-0.8
1869-12-28,1869,-6.1
1869-12-29,1869,-5.6
1869-12-30,1869,-0.8
1869-12-31,1869,-4.4
1870-01-01,1870,-4.4
1870-01-02,1870,-5.3
1870-01-03,1870,-7.2
1870-01-05,1870,-7.8
1870-01-06,1870,-13.9
1870-01-07,1870,-12.2
1870-01-08,1870,-19.7
1870-01-09,1870,-12.2
1870-01-10,1870,-3.1
1870-01-11,1870,-3.3
1870-01-12,1870,-5
1870-01-13,1870,-13.3
1870-01-14,1870,-5.6
1870-01-15,1870,-6.4
1870-01-16,1870,0.3
1870-01-17,1870,-21.1
1870-01-18,1870,-19.2
1870-01-19,1870,-8.3
1870-01-20,1870,-8.3
1870-01-21,1870,-12.2
1870-01-22,1870,0.6
1870-01-23,1870,-12.5
1870-01-24,1870,-7.8
1870-01-25,1870,-1.9
1870-01-26,1870,-10.3
1870-01-27,1870,-9.2
1870-01-28,1870,-1.4
1870-01-29,1870,-4.7
1870-01-30,1870,-5
1870-01-31,1870,-6.7
1870-02-01,1870,-8.9
1870-02-03,1870,-13.1
1870-02-04,1870,-8.3
1870-02-05,1870,-7.2
1870-02-06,1870,-5
1870-02-07,1870,-0.3
1870-02-08,1870,-3.3
1870-02-09,1870,-1.4
1870-02-10,1870,-1.9
1870-02-11,1870,4.2
1870-02-12,1870,-14.2
1870-02-13,1870,-5.6
1870-02-14,1870,-0.6
1870-02-16,1870,-0.3
1870-02-17,1870,-6.4
1870-02-18,1870,-8.6
1870-02-19,1870,-16.1
1870-02-20,1870,-23.1
1870-02-21,1870,-16.7
1870-02-22,1870,-8.1
1870-02-23,1870,-8.3
1870-02-24,1870,-7.5
1870-02-25,1870,-3.1
1870-02-26,1870,2.2
1870-02-27,1870,-1.1
1870-02-28,1870,-3.6
1870-03-01,1870,-2.5
1870-03-02,1870,-3.9
1870-03-03,1870,-3.3
1870-03-04,1870,-3.3
1870-03-05,1870,-1.9
1870-03-06,1870,-3.6
1870-03-07,1870,-5
1870-03-08,1870,-6.4
1870-03-09,1870,-4.4
1870-03-10,1870,-6.4
1870-03-12,1870,-11.9
1870-03-13,1870,-6.1
1870-03-14,1870,-5
1870-03-15,1870,-8.9
1870-03-16,1870,-15.6
1870-03-17,1870,-3.3
1870-03-18,1870,-2.8
1870-03-19,1870,2.2
1870-03-20,1870,1.4
1870-03-21,1870,-0.6
1870-03-22,1870,0.6
1870-03-23,1870,-1.4
1870-03-24,1870,0.8
1870-03-25,1870,3.3
1870-03-26,1870,1.9
1870-03-27,1870,2.2
1870-03-28,1870,1.7
1870-03-29,1870,2.2
1870-03-30,1870,1.7
1870-03-31,1870,1.7
1870-04-01,1870,4.2
1870-04-02,1870,5.6
1870-04-04,1870,5
1870-04-05,1870,7.2
1870-04-06,1870,8.3
1870-04-07,1870,8.9
1870-04-08,1870,8.3
1870-04-09,1870,10.6
1870-04-10,1870,10.3
1870-04-11,1870,10
1870-04-12,1870,13.9
1870-04-13,1870,20.3
1870-04-15,1870,3.3
1870-04-16,1870,-0.8
1870-04-17,1870,2.5
1870-04-18,1870,5
1870-04-19,1870,9.2
1870-04-20,1870,10.6
1870-04-21,1870,11.9
1870-04-22,1870,15
1870-04-23,1870,19.4
1870-04-24,1870,11.9
1870-04-25,1870,8.6
1870-04-27,1870,16.1
1870-04-28,1870,8.3
1870-04-29,1870,13.3
1870-04-30,1870,15.8
1870-05-01,1870,20.3
1870-05-02,1870,21.1
1870-05-03,1870,24.2
1870-05-04,1870,21.1
1870-05-05,1870,21.1
1870-05-06,1870,11.7
1870-05-07,1870,11.1
1870-05-08,1870,14.2
1870-05-09,1870,13.1
1870-05-10,1870,11.1
1870-05-11,1870,12.2
1870-05-12,1870,14.2
1870-05-13,1870,18.6
1870-05-14,1870,21.9
1870-05-16,1870,22.2
1870-05-17,1870,23.6
1870-05-18,1870,21.7
1870-05-19,1870,20
1870-05-20,1870,19.2
1870-05-21,1870,18.1
1870-05-22,1870,20.3
1870-05-23,1870,17.8
1870-05-24,1870,15.3
1870-05-25,1870,18.3
1870-05-27,1870,16.7
1870-05-28,1870,18.3
1870-05-29,1870,21.7
1870-05-30,1870,22.8
1870-05-31,1870,23.6
1870-06-01,1870,22.5
1870-06-02,1870,24.2
1870-06-03,1870,24.7
1870-06-04,1870,18.3
1872-03-22,1872,-5.3
1872-03-23,1872,-6.4
1872-03-24,1872,-4.4
1872-03-25,1872,-1.4
1872-03-26,1872,-1.7
1872-03-27,1872,2.2
1872-03-28,1872,-0.3
1872-03-29,1872,-1.1
1872-03-30,1872,-0.3
1872-03-31,1872,-0.3
1872-04-01,1872,-1.4
1872-04-02,1872,5.8
1872-04-03,1872,-1.7
1872-04-04,1872,-1.9
1872-04-05,1872,5.6
1872-04-07,1872,5.6
1872-04-08,1872,14.2
1872-04-09,1872,3.9
1872-04-10,1872,5
1872-04-11,1872,12.8
1872-04-12,1872,8.9
1872-04-13,1872,6.7
1872-04-14,1872,5.3
1872-04-15,1872,0
1872-04-16,1872,1.4
1872-04-18,1872,7.2
1872-04-19,1872,10
1872-04-20,1872,12.8
1872-04-21,1872,2.5
1872-04-22,1872,3.3
1872-04-23,1872,13.9
1872-04-24,1872,17.2
1872-04-25,1872,20
1872-04-26,1872,9.7
1872-04-27,1872,8.1
1872-04-28,1872,10.3
1872-04-29,1872,17.2
1872-04-30,1872,15.8
1872-05-01,1872,8.9
1872-05-03,1872,10
1872-05-04,1872,10.8
1872-05-05,1872,20.8
1872-05-06,1872,21.7
1872-05-07,1872,19.7
1872-05-08,1872,17.5
1872-05-09,1872,13.1
1872-05-10,1872,6.1
1872-05-11,1872,7.5
1872-05-12,1872,7.5
1872-05-13,1872,10.6
1872-05-15,1872,13.9
1872-05-16,1872,16.1
1872-05-17,1872,17.2
1872-05-18,1872,16.7
1872-05-19,1872,13.1
1872-05-20,1872,12.8
1872-05-21,1872,11.7
1872-05-22,1872,12.8
1872-05-23,1872,16.4
1872-05-24,1872,15.6
1872-05-26,1872,21.1
1872-05-27,1872,17.2
1872-05-28,1872,14.4
1872-05-29,1872,16.4
1872-05-30,1872,13.3
1872-05-31,1872,18.6
1872-06-01,1872,16.4
1872-06-02,1872,15.8
1872-06-03,1872,18.1
1872-06-04,1872,16.1
1872-06-05,1872,20.8
1872-06-06,1872,16.4
1872-06-07,1872,18.1
1872-06-08,1872,20.8
1872-06-09,1872,17.8
1872-06-10,1872,20.3
1872-06-11,1872,21.1
1872-06-12,1872,20.6
1872-06-13,1872,17.5
1872-06-14,1872,15.6
1872-06-15,1872,16.7
1872-06-17,1872,21.9
1872-06-18,1872,23.9
1872-06-19,1872,29.2
1872-06-20,1872,24.7
1872-06-21,1872,22.5
1872-06-22,1872,21.4
1872-06-23,1872,22.8
1872-06-24,1872,24.2
1872-06-25,1872,26.7
1872-06-26,1872,28.1
1872-06-28,1872,26.1
1872-06-29,1872,25.3
1872-06-30,1872,26.4
1872-07-01,1872,26.7
1872-07-02,1872,26.9
1872-07-03,1872,23.9
1872-07-04,1872,19.7
1872-07-05,1872,20.3
1872-07-06,1872,21.9
1872-07-07,1872,23.3
1872-07-08,1872,24.7
1872-07-09,1872,24.4
1872-07-11,1872,26.1
1872-07-12,1872,27.2
1872-07-13,1872,22.8
1872-07-14,1872,28.1
1872-07-15,1872,26.4
1872-07-16,1872,23.6
1872-07-17,1872,23.6
1872-07-18,1872,20.3
1872-07-19,1872,21.9
1872-07-20,1872,20
1872-07-21,1872,21.1
1872-07-23,1872,20.6
1872-07-24,1872,20.3
1872-07-25,1872,21.9
1872-07-26,1872,20.8
1872-07-27,1872,22.8
1872-07-28,1872,26.4
1872-07-29,1872,26.9
1872-07-30,1872,22.5
1872-07-31,1872,23.6
1872-08-01,1872,20.8
1872-08-03,1872,19.2
1872-08-04,1872,22.5
1872-08-05,1872,23.3
1872-08-06,1872,26.9
1872-08-07,1872,27.5
1872-08-08,1872,27.2
1872-08-09,1872,27.2
1872-08-10,1872,18.9
1872-08-11,1872,22.2
1872-08-12,1872,23.3
1872-08-13,1872,23.1
1872-08-15,1872,23.3
1872-08-16,1872,22.8
1872-08-17,1872,23.6
1872-08-18,1872,20.3
1872-08-19,1872,21.4
1872-08-20,1872,27.5
1872-08-21,1872,30
1872-08-22,1872,25.8
1872-08-23,1872,24.4
1872-08-24,1872,21.7
1872-08-25,1872,24.4
1872-08-27,1872,20.6
1872-08-28,1872,18.6
1872-08-29,1872,18.1
1872-08-30,1872,14.7
1872-08-31,1872,17.2
1872-09-01,1872,19.4
1872-09-02,1872,22.2
1872-09-03,1872,19.7
1872-09-04,1872,21.1
1872-09-05,1872,26.7
1872-09-06,1872,28.1
1872-09-08,1872,18.1
1872-09-09,1872,20
1872-09-10,1872,21.9
1872-09-11,1872,19.7
1872-09-12,1872,16.9
1872-09-13,1872,15.3
1872-09-14,1872,15.8
1872-09-15,1872,17.5
1872-09-16,1872,15
1872-09-17,1872,15
1872-09-18,1872,11.7
1872-09-19,1872,11.7
1872-09-20,1872,16.9
1872-09-21,1872,17.8
1872-09-22,1872,15.6
1872-09-24,1872,20
1872-09-25,1872,10.3
1872-09-26,1872,8.1
1872-09-27,1872,9.4
1872-09-28,1872,11.1
1872-09-29,1872,9.7
1872-09-30,1872,9.4
1872-10-01,1872,10.6
1872-10-02,1872,15.3
1872-10-03,1872,15.8
1872-10-04,1872,15.6
1872-10-06,1872,12.5
1872-10-07,1872,11.1
1872-10-08,1872,15.3
1872-10-09,1872,8.6
1872-10-10,1872,3.6
1872-10-11,1872,3.6
1872-10-12,1872,8.6
1872-10-13,1872,3.6
1872-10-14,1872,1.7
1872-10-15,1872,8.3
1872-10-16,1872,5.8
1872-10-18,1872,10
1872-10-19,1872,8.6
1872-10-20,1872,16.4
1872-10-21,1872,13.3
1872-10-22,1872,8.3
1872-10-23,1872,8.1
1872-10-24,1872,8.9
1872-10-25,1872,7.8
1872-10-26,1872,8.3
1872-10-28,1872,9.4
1872-10-29,1872,12.2
1872-10-30,1872,8.9
1872-10-31,1872,3.9
1872-11-01,1872,4.4
1872-11-02,1872,4.2
1872-11-03,1872,3.9
1872-11-04,1872,4.2
1872-11-05,1872,5.6
1872-11-06,1872,4.2
1872-11-07,1872,6.7
1872-11-09,1872,4.4
1872-11-10,1872,8.1
1872-11-11,1872,2.5
1872-11-12,1872,3.6
1872-11-13,1872,-1.9
1872-11-14,1872,-5.6
1872-11-15,1872,-5.3
1872-11-16,1872,-5.3
1872-11-17,1872,-9.2
1872-11-18,1872,-12.8
1872-11-20,1872,-11.9
1872-11-21,1872,-3.6
1872-11-22,1872,-2.5
1872-11-23,1872,0.8
1872-11-24,1872,1.4
1872-11-25,1872,-3.3
1872-11-26,1872,-2.2
1872-11-27,1872,-16.4
1872-11-28,1872,-18.3
1872-11-29,1872,-16.4
1872-11-30,1872,-13.3
1872-12-01,1872,-2.5
1872-12-02,1872,-2.5
1872-12-03,1872,-5.8
1872-12-04,1872,-7.2
1872-12-05,1872,-3.6
1872-12-06,1872,-5.3
1872-12-07,1872,-1.4
1872-12-09,1872,-14.7
1872-12-10,1872,-14.4
1872-12-11,1872,-10.3
1872-12-12,1872,-8.3
1872-12-13,1872,-4.4
1872-12-14,1872,-4.7
1872-12-15,1872,-15.8
1872-12-16,1872,-13.6
1872-12-17,1872,-12.2
1872-12-18,1872,-15.8
1872-12-19,1872,-20.8
1872-12-20,1872,-17.2
1872-12-22,1872,-19.7
1872-12-23,1872,-28.3
1872-12-24,1872,-27.2
1872-12-25,1872,-16.7
1872-12-26,1872,-12.5
1872-12-27,1872,-16.4
1872-12-28,1872,-13.9
1872-12-29,1872,-10
1872-12-30,1872,-7.2
1872-12-31,1872,-8.3
1873-01-01,1873,-8.3
1873-01-02,1873,-0.3
1873-01-03,1873,-9.4
1873-01-04,1873,-14.7
1873-01-05,1873,-13.9
1873-01-06,1873,-15.3
1873-01-07,1873,-3.3
1873-01-08,1873,-17.8
1873-01-09,1873,-23.9
1873-01-10,1873,-21.4
1873-01-11,1873,-11.9
1873-01-12,1873,-2.8
1873-01-13,1873,-1.7
1873-01-14,1873,-3.6
1873-01-15,1873,-1.4
1873-01-17,1873,-20
1873-01-18,1873,-15.8
1873-01-19,1873,-8.9
1873-01-20,1873,-3.9
1873-01-21,1873,-5.6
1873-01-22,1873,-10.3
1873-01-23,1873,-13.6
1873-01-24,1873,-13.6
1873-01-25,1873,-12.8
1873-01-26,1873,-13.9
1873-01-27,1873,-13.6
1873-01-28,1873,-24.7
1873-01-29,1873,-24.4
1873-01-30,1873,-10.3
1873-01-31,1873,-12.2
1873-02-01,1873,-20.6
1873-02-02,1873,-21.1
1873-02-03,1873,-4.7
1873-02-04,1873,-8.6
1873-02-05,1873,-6.1
1873-02-06,1873,-1.9
1873-02-07,1873,0.8
1873-02-08,1873,-12.5
1873-02-09,1873,-10.6
1873-02-10,1873,2.2
1873-02-11,1873,-8.3
1873-02-12,1873,-12.5
1873-02-14,1873,-8.3
1873-02-15,1873,-5
1873-02-16,1873,-4.4
1873-02-17,1873,-0.8
1873-02-18,1873,-8.9
1873-02-19,1873,-7.5
1873-02-20,1873,-7.5
1873-02-21,1873,-21.7
1873-02-22,1873,-25
1873-02-23,1873,-23.3
1873-02-24,1873,-15.3
1873-02-25,1873,-6.1
1873-02-27,1873,-8.1
1873-02-28,1873,-5
1873-03-01,1873,-5.3
1873-03-02,1873,-7.8
1873-03-03,1873,-18.3
1873-03-04,1873,-15.3
1873-03-05,1873,-6.1
1873-03-06,1873,3.3
1873-03-07,1873,5.6
1873-03-08,1873,3.3
1873-03-09,1873,1.4
1873-03-10,1873,2.5
1873-03-11,1873,-3.3
1873-03-12,1873,-2.8
1873-03-13,1873,4.4
1873-03-14,1873,6.7
1873-03-15,1873,6.4
1873-03-16,1873,1.7
1873-03-17,1873,9.2
1873-03-18,1873,5.6
1873-03-19,1873,0
1873-03-20,1873,-5
1873-03-21,1873,-1.7
1873-03-22,1873,0.6
1873-03-23,1873,-3.6
1873-03-24,1873,-3.9
1873-03-25,1873,-8.9
1873-03-26,1873,-10
1873-03-27,1873,-4.4
1873-03-29,1873,2.8
1873-03-30,1873,1.1
1873-03-31,1873,5.8
1873-04-01,1873,1.1
1873-04-02,1873,3.3
1873-04-03,1873,4.4
1873-04-04,1873,7.8
1873-04-05,1873,18.9
1873-04-06,1873,4.7
1873-04-07,1873,5
1873-04-08,1873,-0.6
1873-04-09,1873,0
1873-04-10,1873,3.3
1873-04-11,1873,4.7
1873-04-12,1873,5.3
1873-04-13,1873,8.9
1873-04-15,1873,5
1873-04-16,1873,3.9
1873-04-17,1873,3.6
1873-04-18,1873,5.8
1873-04-19,1873,5.8
1873-04-20,1873,6.1
