lakeid,ice_on,ice_off,ice_duration,year
Lake Mendota,1901-12-15,1902-03-30,105,1901
Lake Mendota,1902-12-25,1903-03-24,89,1902
Lake Mendota,1903-12-13,1904-04-17,126,1903
Lake Mendota,1904-12-14,1905-04-01,108,1904
Lake Mendota,1906-01-01,1906-04-08,97,1905
Lake Mendota,1906-12-20,1907-03-24,94,1906
Lake Mendota,1908-01-01,1908-03-24,83,1907
Lake Mendota,1908-12-22,1909-04-07,106,1908
Lake Mendota,1909-12-18,1910-03-26,98,1909
Lake Mendota,1910-12-09,1911-03-20,101,1910
Lake Mendota,1911-12-28,1912-04-14,108,1911
Lake Mendota,1912-12-24,1913-04-02,99,1912
Lake Mendota,1914-01-12,1914-04-10,88,1913
Lake Mendota,1914-12-16,1915-04-10,115,1914
Lake Mendota,1915-12-28,1916-04-08,102,1915
Lake Mendota,1916-12-16,1917-04-11,116,1916
Lake Mendota,1917-12-11,1918-04-05,115,1917
Lake Mendota,1919-01-03,1919-03-26,82,1918
Lake Mendota,1919-12-09,1920-03-28,110,1919
Lake Mendota,1920-12-25,1921-03-16,81,1920
Lake Mendota,1921-12-25,1922-03-31,96,1921
Lake Mendota,1922-12-16,1923-04-20,125,1922
Lake Mendota,1924-01-01,1924-04-14,104,1923
Lake Mendota,1924-12-19,1925-04-03,105,1924
Lake Mendota,1925-12-16,1926-04-19,124,1925
Lake Mendota,1926-12-06,1927-03-19,103,1926
Lake Mendota,1927-12-17,1928-04-01,106,1927
Lake Mendota,1928-12-21,1929-03-27,96,1928
Lake Mendota,1929-12-03,1930-03-20,107,1929
Lake Mendota,1930-12-16,1931-03-24,98,1930
Lake Mendota,1932-01-30,1932-04-04,65,1931
Lake Mendota,1932-12-10,1933-04-04,115,1932
Lake Mendota,1933-12-25,1934-03-26,91,1933
Lake Mendota,1934-12-24,1935-03-28,94,1934
Lake Mendota,1935-12-20,1936-03-30,101,1935
Lake Mendota,1936-12-07,1937-04-13,121,1936
Lake Mendota,1937-12-07,1938-03-22,105,1937
Lake Mendota,1938-12-28,1939-04-04,97,1938
Lake Mendota,1940-01-02,1940-04-16,105,1939
Lake Mendota,1941-01-05,1941-04-11,96,1940
Lake Mendota,1942-01-03,1942-03-26,82,1941
Lake Mendota,1942-12-07,1943-04-02,116,1942
Lake Mendota,1943-12-16,1944-04-08,114,1943
Lake Mendota,1944-12-18,1945-03-20,92,1944
Lake Mendota,1945-12-13,1946-03-21,98,1945
Lake Mendota,1946-12-30,1947-04-10,101,1946
Lake Mendota,1947-12-21,1948-04-03,104,1947
Lake Mendota,1948-12-24,1949-03-30,96,1948
Lake Mendota,1949-12-23,1950-04-11,109,1949
Lake Mendota,1950-12-11,1951-04-12,122,1950
Lake Mendota,1951-12-16,1952-04-08,114,1951
Lake Mendota,1952-12-30,1953-03-21,81,1952
Lake Mendota,1953-12-30,1954-03-25,85,1953
Lake Mendota,1955-01-02,1955-04-04,92,1954
Lake Mendota,1955-12-12,1956-04-04,114,1955
Lake Mendota,1956-12-14,1957-04-04,111,1956
Lake Mendota,1957-12-30,1958-04-04,95,1957
Lake Mendota,1958-12-09,1959-04-14,126,1958
Lake Mendota,1959-12-29,1960-04-12,105,1959
Lake Mendota,1960-12-19,1961-04-06,108,1960
Lake Mendota,1961-12-16,1962-04-12,117,1961
Lake Mendota,1962-12-12,1963-04-03,112,1962
Lake Mendota,1963-12-20,1964-04-11,113,1963
Lake Mendota,1964-12-15,1965-04-14,120,1964
Lake Mendota,1966-01-11,1966-03-17,65,1965
Lake Mendota,1966-12-26,1967-04-03,98,1966
Lake Mendota,1967-12-27,1968-03-27,91,1967
Lake Mendota,1968-12-17,1969-04-10,108,1968
Lake Mendota,1969-12-16,1970-04-08,113,1969
Lake Mendota,1970-12-24,1971-04-13,110,1970
Lake Mendota,1972-01-05,1972-04-19,105,1971
Lake Mendota,1972-12-07,1973-03-14,97,1972
Lake Mendota,1973-12-21,1974-04-05,105,1973
Lake Mendota,1975-01-02,1975-04-19,107,1974
Lake Mendota,1975-12-27,1976-03-24,88,1975
Lake Mendota,1976-12-03,1977-03-28,115,1976
Lake Mendota,1977-12-07,1978-04-11,123,1977
Lake Mendota,1978-12-10,1979-04-19,118,1978
Lake Mendota,1979-12-29,1980-04-06,99,1979
Lake Mendota,1980-12-20,1981-03-23,93,1980
Lake Mendota,1981-12-28,1982-04-03,96,1981
Lake Mendota,1983-01-13,1983-03-08,54,1982
Lake Mendota,1983-12-19,1984-04-08,111,1983
Lake Mendota,1984-12-25,1985-03-27,85,1984
Lake Mendota,1985-12-14,1986-03-31,107,1985
Lake Mendota,1986-12-13,1987-03-12,89,1986
Lake Mendota,1988-01-02,1988-03-29,87,1987
Lake Mendota,1988-12-29,1989-04-05,97,1988
Lake Mendota,1989-12-12,1990-03-15,93,1989
Lake Mendota,1990-12-26,1991-03-24,88,1990
Lake Mendota,1991-12-18,1992-03-26,99,1991
Lake Mendota,1992-12-24,1993-04-11,108,1992
Lake Mendota,1993-12-27,1994-03-31,94,1993
Lake Mendota,1995-01-06,1995-03-21,74,1994
Lake Mendota,1995-12-10,1996-04-07,119,1995
Lake Mendota,1996-12-20,1997-04-01,102,1996
Lake Mendota,1998-01-11,1998-02-27,47,1997
Lake Mendota,1998-12-30,1999-03-21,81,1998
Lake Mendota,2000-01-14,2000-03-07,53,1999
Lake Mendota,2000-12-13,2001-04-07,115,2000
Lake Mendota,2002-01-02,2002-03-15,21,2001
Lake Mendota,2003-01-04,2003-04-03,89,2002
Lake Mendota,2004-01-07,2004-03-27,80,2003
Lake Mendota,2004-12-25,2005-04-05,101,2004
Lake Mendota,2005-12-19,2006-03-24,95,2005
Lake Mendota,2007-01-20,2007-03-27,66,2006
Lake Mendota,2007-12-26,2008-04-10,106,2007
Lake Mendota,2008-12-16,2009-03-23,97,2008
Lake Mendota,2009-12-29,2010-03-26,87,2009
Lake Mendota,2010-12-15,2011-04-03,110,2010
Lake Mendota,2012-01-14,2012-03-11,57,2011
Lake Mendota,2013-01-14,2013-04-11,87,2012
Lake Mendota,2013-12-16,2014-04-12,117,2013
Lake Mendota,2015-01-02,2015-04-03,91,2014
Lake Mendota,2016-01-11,2016-03-13,62,2015
Lake Mendota,2017-01-01,2017-03-07,65,2016
Lake Mendota,2017-12-27,2018-03-31,94,2017
Lake Mendota,2018-12-15,2019-03-31,86,2018
Lake Mendota,2020-01-12,2020-03-22,70,2019
Lake Monona,1851-12-13,1852-03-25,103,1851
Lake Monona,1853-12-21,NA,NA,1853
Lake Monona,1855-12-18,1856-04-14,118,1855
Lake Monona,1856-12-04,1857-05-04,151,1856
Lake Monona,1857-11-23,1858-03-22,119,1857
Lake Monona,1858-12-11,1859-03-15,94,1858
Lake Monona,1859-12-06,1860-03-26,111,1859
Lake Monona,1860-12-02,1861-04-10,129,1860
Lake Monona,1861-12-01,1862-04-13,133,1861
Lake Monona,1862-12-07,1863-04-05,119,1862
Lake Monona,1863-12-11,1864-04-20,131,1863
Lake Monona,1864-12-09,1865-04-05,117,1864
Lake Monona,1865-12-14,1866-04-18,125,1865
Lake Monona,1866-12-12,1867-04-19,128,1866
Lake Monona,1867-12-14,1868-03-31,108,1867
Lake Monona,1868-12-10,1869-04-15,126,1868
Lake Monona,1869-11-24,1870-04-11,138,1869
Lake Monona,1870-12-22,1871-04-01,100,1870
Lake Monona,1871-11-30,1872-04-20,142,1871
Lake Monona,1872-11-28,1873-04-18,141,1872
Lake Monona,1873-11-29,1874-04-14,136,1873
Lake Monona,1874-12-12,1875-04-14,123,1874
Lake Monona,1876-01-10,1876-04-10,91,1875
Lake Monona,1876-12-05,1877-04-16,132,1876
Lake Monona,1878-01-06,1878-03-09,62,1877
Lake Monona,1878-12-16,1879-04-10,115,1878
Lake Monona,1879-12-16,1880-03-18,93,1879
Lake Monona,1880-11-22,1881-05-01,160,1880
Lake Monona,1882-01-01,1882-03-19,77,1881
Lake Monona,1882-12-07,1883-04-13,127,1882
Lake Monona,1883-12-17,1884-04-15,120,1883
Lake Monona,1884-12-17,1885-04-17,121,1884
Lake Monona,1885-12-07,1886-04-17,131,1885
Lake Monona,1886-12-05,1887-04-15,131,1886
Lake Monona,1887-11-28,1888-04-13,137,1887
Lake Monona,1888-12-29,1889-03-26,87,1888
Lake Monona,1890-01-14,1890-03-29,74,1889
Lake Monona,1890-12-24,1891-04-16,113,1890
Lake Monona,1891-12-27,1892-04-01,96,1891
Lake Monona,1892-12-11,1893-04-07,117,1892
Lake Monona,1893-12-02,1894-03-11,99,1893
Lake Monona,1894-12-25,1895-04-08,104,1894
Lake Monona,1895-12-04,1896-04-01,119,1895
Lake Monona,1896-12-03,1897-04-05,123,1896
Lake Monona,1897-12-15,1898-03-26,101,1897
Lake Monona,1898-12-07,1899-04-15,129,1898
Lake Monona,1899-12-25,1900-04-16,112,1899
Lake Monona,1900-12-14,1901-04-11,118,1900
Lake Monona,1901-12-14,1902-03-27,103,1901
Lake Monona,1902-12-26,1903-03-21,85,1902
Lake Monona,1903-11-27,1904-04-15,140,1903
Lake Monona,1904-12-13,1905-04-03,111,1904
Lake Monona,1905-12-14,1906-04-08,115,1905
Lake Monona,1906-12-08,1907-03-24,106,1906
Lake Monona,1907-12-11,1908-03-26,106,1907
Lake Monona,1908-12-09,1909-04-06,118,1908
Lake Monona,1909-12-18,1910-03-24,96,1909
Lake Monona,1910-12-08,1911-03-21,103,1910
Lake Monona,1911-12-18,1912-04-09,113,1911
Lake Monona,1912-12-19,1913-04-02,104,1912
Lake Monona,1913-12-27,1914-03-20,83,1913
Lake Monona,1914-12-15,1915-04-09,115,1914
Lake Monona,1915-12-15,1916-04-04,111,1915
Lake Monona,1916-12-16,1917-04-11,116,1916
Lake Monona,1917-12-08,1918-04-03,116,1917
Lake Monona,1918-12-27,1919-03-20,83,1918
Lake Monona,1919-12-03,1920-03-28,116,1919
Lake Monona,1920-12-21,1921-03-16,85,1920
Lake Monona,1921-12-19,1922-03-25,96,1921
Lake Monona,1922-12-13,1923-04-19,127,1922
Lake Monona,1924-01-01,1924-04-13,103,1923
Lake Monona,1924-12-14,1925-03-27,103,1924
Lake Monona,1925-12-10,1926-04-15,126,1925
Lake Monona,1926-12-05,1927-03-17,102,1926
Lake Monona,1927-12-09,1928-03-26,108,1927
Lake Monona,1928-12-21,1929-03-27,96,1928
Lake Monona,1929-12-03,1930-03-17,104,1929
Lake Monona,1930-12-16,1931-03-24,98,1930
Lake Monona,1932-01-30,1932-03-30,60,1931
Lake Monona,1932-12-10,1933-03-27,107,1932
Lake Monona,1933-12-13,1934-03-26,103,1933
Lake Monona,1934-12-20,1935-03-28,98,1934
Lake Monona,1935-12-11,1936-03-27,107,1935
Lake Monona,1936-12-04,1937-04-12,123,1936
Lake Monona,1937-12-01,1938-03-22,111,1937
Lake Monona,1938-12-19,1939-03-31,102,1938
Lake Monona,1939-12-31,1940-04-11,102,1939
Lake Monona,1940-12-03,1941-04-09,127,1940
Lake Monona,1941-12-29,1942-03-24,85,1941
Lake Monona,1942-12-07,1943-03-31,114,1942
Lake Monona,1943-12-14,1944-03-24,101,1943
Lake Monona,1944-12-18,1945-03-17,89,1944
Lake Monona,1945-12-12,1946-03-21,99,1945
Lake Monona,1946-12-18,1947-04-05,108,1946
Lake Monona,1947-12-09,1948-03-26,108,1947
Lake Monona,1948-12-24,1949-03-26,92,1948
Lake Monona,1949-12-15,1950-04-07,113,1949
Lake Monona,1950-12-11,1951-04-08,118,1950
Lake Monona,1951-12-16,1952-04-06,112,1951
Lake Monona,1952-12-17,1953-03-20,93,1952
Lake Monona,1953-12-30,1954-03-12,72,1953
Lake Monona,1954-12-31,1955-03-24,83,1954
Lake Monona,1955-12-06,1956-03-24,109,1955
Lake Monona,1956-12-13,1957-03-15,92,1956
Lake Monona,1957-12-12,1958-03-31,109,1957
Lake Monona,1958-12-08,1959-04-12,125,1958
Lake Monona,1959-12-29,1960-04-08,101,1959
Lake Monona,1960-12-19,1961-03-27,98,1960
Lake Monona,1961-12-15,1962-04-07,113,1961
Lake Monona,1962-12-12,1963-04-03,112,1962
Lake Monona,1963-12-18,1964-03-19,92,1963
Lake Monona,1964-12-15,1965-04-08,114,1964
Lake Monona,1966-01-11,1966-03-17,65,1965
Lake Monona,1967-01-05,1967-04-03,88,1966
Lake Monona,1967-12-24,1968-03-20,87,1967
Lake Monona,1968-12-15,1969-03-26,101,1968
Lake Monona,1969-12-16,1970-03-18,92,1969
Lake Monona,1970-12-15,1971-03-18,93,1970
Lake Monona,1972-01-04,1972-04-08,95,1971
Lake Monona,1972-12-07,1973-03-07,90,1972
Lake Monona,1973-12-20,1974-03-24,94,1973
Lake Monona,1975-01-02,1975-04-07,95,1974
Lake Monona,1975-12-21,1976-03-20,90,1975
Lake Monona,1976-12-01,1977-03-14,103,1976
Lake Monona,1977-12-07,1978-04-07,121,1977
Lake Monona,1978-12-09,1979-04-05,117,1978
Lake Monona,1979-12-17,1980-03-30,104,1979
Lake Monona,1980-12-20,1981-03-16,86,1980
Lake Monona,1981-12-20,1982-03-30,100,1981
Lake Monona,1983-01-09,1983-03-06,56,1982
Lake Monona,1983-12-18,1984-04-03,107,1983
Lake Monona,1984-12-24,1985-03-26,92,1984
Lake Monona,1985-12-06,1986-03-29,113,1985
Lake Monona,1986-12-13,1987-03-08,85,1986
Lake Monona,1987-12-25,1988-03-25,91,1987
Lake Monona,1988-12-29,1989-04-01,93,1988
Lake Monona,1989-12-07,1990-03-15,98,1989
Lake Monona,1990-12-23,1991-03-21,88,1990
Lake Monona,1991-12-16,1992-03-16,91,1991
Lake Monona,1992-12-24,1993-04-11,108,1992
Lake Monona,1993-12-26,1994-03-31,95,1993
Lake Monona,1995-01-05,1995-03-31,85,1994
Lake Monona,1995-11-29,1996-03-24,107,1995
Lake Monona,1996-12-20,1997-03-26,96,1996
Lake Monona,1998-01-11,1998-02-27,47,1997
Lake Monona,1998-12-30,1999-03-10,70,1998
Lake Monona,2000-01-14,2000-03-06,52,1999
Lake Monona,2000-12-13,2001-03-31,108,2000
Lake Monona,2002-01-01,2002-02-26,56,2001
Lake Monona,2002-12-09,2003-03-22,83,2002
Lake Monona,2003-12-25,2004-03-20,75,2003
Lake Monona,2004-12-24,2005-03-31,97,2004
Lake Monona,2005-12-08,2006-03-12,94,2005
Lake Monona,2007-01-18,2007-03-26,67,2006
Lake Monona,2007-12-07,2008-04-07,122,2007
Lake Monona,2008-12-16,2009-03-24,98,2008
Lake Monona,2009-12-27,2010-03-25,88,2009
Lake Monona,2010-12-09,2011-04-03,116,2010
Lake Monona,2012-01-03,2012-03-12,69,2011
Lake Monona,2012-12-31,2013-04-11,101,2012
Lake Monona,2013-12-10,2014-04-10,121,2013
Lake Monona,2014-12-02,2015-04-02,105,2014
Lake Monona,2016-01-11,2016-03-13,62,2015
Lake Monona,2016-12-16,2017-03-07,81,2016
Lake Monona,2017-12-26,2018-03-29,93,2017
Lake Monona,2018-12-11,2019-03-31,97,2018
Lake Monona,2019-12-16,2020-03-20,80,2019
