site	richness	productivity
site2	35	190.7
site2	31	186.7
site2	47	217.8
site2	38	214.2
site2	33	199.5
site2	19	174.9
site2	35	203
site2	30	191.4
site2	44	216.7
site2	38	207.7
site2	39	199.1
site2	45	210
site2	35	193.1
site2	23	181.5
site2	42	203.5
