site,bromeliad,latitude,logmaxvolume,Odonatepresence
Picinguaba,P6,-23.35,2.35443806901704,0
Picinguaba,P7,-23.35,2.57157792690272,1
Picinguaba,P8,-23.35,2.50256410394774,1
Picinguaba,P9,-23.35,2.7825642663272,1
Picinguaba,P10,-23.35,2.39670282627438,0
Picinguaba,P11,-23.35,2.35577552219341,0
Picinguaba,P12,-23.35,2.25847271211562,0
Picinguaba,P13,-23.35,2.36507020593411,0
Macae,VN01,-22.383333,3.21218760440396,1
Macae,VN02,-22.383333,3,0
Macae,VN07,-22.383333,3.30102999566398,1
Macae,VN15,-22.383333,3.19589965240923,0
Macae,VN18,-22.383333,3.14612803567824,1
Macae,VN20,-22.383333,2.85125834871908,1
Macae,VN22,-22.383333,2.94448267215017,1
Macae,VN24,-22.383333,2.81291335664286,1
Macae,VN28,-22.383333,2.74036268949424,1
Macae,VN30,-22.383333,3.29003461136252,1
Macae,VN31,-22.383333,3.07554696139253,1
Macae,VN34,-22.383333,3.47712125471966,1
Macae,VN36,-22.383333,3.11394335230684,1
Macae,VN37,-22.383333,3.30102999566398,1
Macae,VN40,-22.383333,3.04139268515822,1
Macae,AN49,-22.383333,3.44715803134222,1
Macae,AN51,-22.383333,2.06069784035361,0
Macae,AN52,-22.383333,2.23044892137827,0
Macae,AN55,-22.383333,2.47712125471966,0
Macae,AN57,-22.383333,2.39794000867204,0
Macae,AN58,-22.383333,2.09691001300806,0
Macae,AN59,-22.383333,2.34242268082221,0
Macae,AN66,-22.383333,2.54406804435028,0
Macae,AN72,-22.383333,2.65321251377534,0
Macae,AN74,-22.383333,2.64836001098093,1
Macae,AN75,-22.383333,2.70329137811866,0
Macae,AN77,-22.383333,2.7481880270062,1
Macae,AN79,-22.383333,2.65321251377534,0
Macae,AN80,-22.383333,2.32221929473392,0
Macae,AN83,-22.383333,2.66275783168157,0
Macae,AN94,-22.383333,2.77815125038364,1
Macae,NC102,-22.383333,3.09691001300806,1
Macae,NC103,-22.383333,3.15836249209525,1
Macae,NC106,-22.383333,3.00646604224923,1
Macae,NC107,-22.383333,2.84509804001426,1
Macae,NC114,-22.383333,2.74036268949424,1
Macae,NC115,-22.383333,2.7160033436348,1
Macae,NC121,-22.383333,3.14612803567824,1
Macae,NC124,-22.383333,2.97772360528885,1
Macae,NC127,-22.383333,3,1
Macae,NC131,-22.383333,2.95904139232109,1
Macae,NC134,-22.383333,2.50514997831991,0
Macae,NC136,-22.383333,3.30102999566398,1
Macae,NC145,-22.383333,2.79239168949825,0
Macae,NC146,-22.383333,2.93449845124357,1
Macae,NC147,-22.383333,3,1
Macae,NC149,-22.383333,2.70757017609794,1
Macae,AL151,-22.383333,3.26717172840301,1
Macae,AL152,-22.383333,3,1
Macae,AL155,-22.383333,3.47712125471966,1
Macae,AL160,-22.383333,2.96378782734556,1
Macae,AL163,-22.383333,3.04139268515822,1
Macae,AL168,-22.383333,2.77815125038364,0
Macae,AL169,-22.383333,2.71256552787331,0
Macae,AL172,-22.383333,2.65321251377534,1
Macae,AL173,-22.383333,3.16136800223497,1
Macae,AL177,-22.383333,3.04139268515822,1
Macae,AL180,-22.383333,3.25527250510331,0
Macae,AL182,-22.383333,2.91381385238372,1
Macae,AL184,-22.383333,3.09691001300806,1
Macae,AL192,-22.383333,3.04336227802113,1
Macae,AL193,-22.383333,2.99122607569249,1
Macae,AL199,-22.383333,3,1
